name,short_name,iata,icao,flight_area_class,type,city,opened,lat,lon
营口兰旗机场,营口兰旗,YKH,ZYYK,4C,民用,营口市,2016-02-03,40.542524,122.3586
玉林福绵机场,玉林福绵,YLX,ZGYL,4C,民用,玉林市,2020-08-28,22.433042,110.119996
延吉朝阳川国际机场,延吉朝阳川,YNJ,ZYYJ,4C,军民合用,延吉市,1985-08-29,42.8828010559,129.451004028
盐城南洋国际机场,盐城南洋,YNZ,ZSYN,4C,军民合用,盐城市,2000-03-29,33.428317,120.20545
松原查干湖机场,松原查干湖,YSQ,ZYSQ,4C,民用,松原市,2017-10-29,44.931143,124.552121
于田万方机场,于田万方,YTW,ZWYT,4C,军民合用,于田县,2020-12-26,36.8085,81.7827
玉树巴塘机场,玉树巴塘,YUS,ZLYS,4C,民用,玉树市,2009-08-01,32.836389,97.036389
岳阳三荷机场,岳阳三荷,YYA,ZGYY,4C,民用,岳阳市,2018-12-26,29.311699,113.281574
张掖甘州机场,张掖甘州,YZY,ZLZY,4C,军民合用,张掖市,2011-11-01,38.801899,100.675003
昭通机场,昭通,ZAT,ZPZT,4C,军民合用,昭通市,1993-12-20,27.327549,103.75617
昭苏天马机场,昭苏天马,ZFL,ZWZS,4C,民用,昭苏县,2022-01-28,43.088477,81.223013
中卫沙坡头机场,中卫沙坡头,ZHY,ZLZW,4C,民用,中卫市,2008-12-26,37.573125,105.154454
张家口宁远机场,张家口宁远,ZQZ,ZBZJ,4C,军民合用,张家口市,2013-06-16,40.738664,114.933395
遵义新舟机场,遵义新舟,ZYI,ZUZY,4C,军民合用,遵义市,2012-08-28,27.810723,107.247189
北海福成机场,北海福成,BHY,ZGBH,4D,民用,北海市,1986-12-10,21.538659,109.293683
常德桃花源机场,常德桃花源,CGD,ZGCD,4D,民用,常德市,1965-04-15,28.9189,111.639999
迪庆香格里拉机场,香格里拉,DIG,ZPDQ,4D,民用,香格里拉市,1999-04-30,27.7936,99.6772
敦煌莫高国际机场,敦煌莫高,DNH,ZLDH,4D,民用,敦煌市,1982-08-31,40.161953,94.812827
东营胜利机场,东营胜利,DOY,ZSDY,4D,民用,东营市,2001-11-28,37.50137,118.789863
张家界荷花国际机场,张家界荷花,DYG,ZGDY,4D,民用,张家界市,1994-08-18,29.104749,110.442786
格尔木机场,格尔木,GOQ,ZLGM,4D,军民合用,格尔木市,1996-03-15,36.4006,94.786102
淮安涟水国际机场,淮安涟水,HIA,ZSSH,4D,民用,淮安市,2010-09-26,33.792712,119.126657
呼伦贝尔海拉尔国际机场,海拉尔,HLD,ZBLA,4D,民用,呼伦贝尔市,1950-07-01,49.208616,119.822301
舟山普陀山国际机场,舟山普陀山,HSN,ZSZS,4D,民用,舟山市,1997-07-28,29.933874,122.362307
和田昆冈机场,和田昆冈,HTN,ZWTN,4D,军民合用,和田市,1956-07-02,37.03850173950195,79.86489868164062
嘉峪关酒泉机场,嘉峪关酒泉,JGN,ZLJQ,4D,民用,嘉峪关市 酒泉市,1953-07-01,39.859052,98.339344
西双版纳嘎洒国际机场,西双版纳,JHG,ZPJH,4D,民用,景洪市,1990-04-07,21.974648,100.762224
泉州晋江国际机场,泉州晋江,JJN,ZSQZ,4D,军民合用,泉州市,1996-12-12,24.795855,118.588599
九寨黄龙机场,九寨黄龙,JZH,ZUJZ,4D,民用,九寨沟县,2003-09-28,32.853333,103.682222
库尔勒梨城机场,库尔勒梨城,KRL,ZWKL,4D,军民合用,库尔勒市,2007-12-20,41.614979,86.140817
克拉玛依古海机场,克拉玛依古海,KRY,ZWKM,4D,民用,克拉玛依市,2006-04-10,45.46655,84.9527
丽江三义国际机场,丽江三义,LJG,ZPLJ,4D,民用,丽江市,1995-06-09,26.677483,100.244944
洛阳北郊机场,洛阳北郊,LYA,ZHLY,4D,民用,洛阳市,1987-09-26,34.7411,112.388
连云港花果山国际机场,连云港花果山,LYG,ZSLG,4D,民用,连云港市,2021-12-02,34.41406,119.17899
临沂启阳国际机场,临沂启阳,LYI,ZSLY,4D,民用,临沂市,1998-12-26,35.052918,118.411828
林芝米林机场,林芝米林,LZY,ZUNZ,4D,军民合用,林芝市,2006-09-01,29.303301,94.335297
绵阳南郊机场,绵阳南郊,MIG,ZUMY,4D,军民合用,绵阳市,2001-04-28,31.428101,104.740997
白山长白山机场,白山长白山,NBS,ZYBS,4D,民用,长白山管委会,2008-08-03,42.066944,127.602222
阿里昆莎机场,阿里昆莎,NGQ,ZUAL,4D,军民合用,噶尔县,2010-07-01,32.09794,80.053971
南阳姜营机场,南阳姜营,NNY,ZHNY,4D,民用,南阳市,1992-12-21,32.982696,112.617467
满洲里西郊国际机场,满洲里西郊,NZH,ZBMZ,4D,民用,满洲里市,2004-12-08,49.566667,117.33
黄山屯溪国际机场,黄山屯溪,TXN,ZSTX,4D,民用,黄山市,1959-11-11,29.733299,118.255997
榆林榆阳机场,榆林榆阳,UYN,ZLYL,4D,民用,榆林市,2008-04-10,38.35971,109.590927
潍坊机场,潍坊,WEF,ZSWF,4D,军民合用,潍坊市,1996-04-04,36.646702,119.119003
威海大水泊国际机场,威海大水泊,WEH,ZSWH,4D,军民合用,威海市,1995-10-31,37.187099,122.228996
襄阳刘集机场,襄阳刘集,XFN,ZHXF,4D,民用,襄阳市,1989-12-14,32.152222,112.291666
西昌青山机场,西昌青山,XIC,ZUXC,4D,军民合用,西昌市,1975-07-21,27.9891,102.183998
徐州观音国际机场,徐州观音,XUZ,ZSXZ,4D,民用,徐州市,1997-11-08,34.059056,117.555278
宜昌三峡国际机场,宜昌三峡,YIH,ZHYC,4D,民用,宜昌市,1996-12-28,30.554132,111.482563
义乌机场,义乌,YIW,ZSYW,4D,军民合用,义乌市,1991-04-01,29.342095,120.03116
