name,iata,icao,flight_area_class,type,city,opened,lat,lon,source_name
布尔津喀纳斯机场,KJI,ZWKN,4C,民用,布尔津县,2007-08-15,48.2223,86.9959,Burqin Kanas Airport
赣州黄金机场,KOW,ZSGZ,4C,民用,赣州市,2008-03-26,25.853333,114.778889,Ganzhou Huangjin Airport
连城冠豸山机场,LCX,ZSLO,4C,军民合用,龙岩市,2004-04-25,25.67592,116.745907,Liancheng Guanzhishan Airport
伊春林都机场,LDS,ZYLD,4C,民用,伊春市,2009-08-27,47.752056,129.019125,Yichun Lindu Airport
临汾尧都机场,LFQ,ZBLF,4C,民用,临汾市,2016-01-25,36.132629,111.641236,Linfen Yaodu Airport
山南隆子机场,LGZ,ZUSH,4C,民用,隆子县,2022-12-23,28.422422,92.348082,Shannan Longzi Airport
丽水机场,LIJ,ZSLI,4C,民用,丽水市,2025-07-18,28.3727,119.839,Lishui Airport
黔南荔波机场,LLB,ZULB,4C,民用,荔波县,2007-11-07,25.4525,107.961667,Libo Airport
永州零陵机场,LLF,ZGLG,4C,军民合用,永州市,2001-04-30,26.338661,111.610043,Yongzhou Lingling Airport
吕梁大武机场,LLV,ZBLL,4C,民用,吕梁市,2014-01-26,37.683333,111.142778,Lüliang Dawu Airport
临沧博尚机场,LNJ,ZPLC,4C,民用,临沧市,2001-03-25,23.7381,100.025002,Lincang Boshang Airport
陇南成县机场,LNL,ZLLN,4C,民用,陇南市,2018-03-25,33.789918,105.790014,Longnan Chengzhou Airport
六盘水月照机场,LPF,ZUPS,4C,民用,六盘水市,2014-11-28,26.609417,104.979,Liupanshui Yuezhao Airport
巴音郭楞轮台机场,LTJ,ZWLT,4C,民用,轮台县,2026-06-12,41.59417,84.2925,Bayinguoleng Luntai Airport
德宏芒市国际机场,LUM,ZPMS,4C,民用,芒市,1990-04-10,24.4011,98.5317,Dehong Mangshi International Airport
阆中古城机场,LZG,ZULA,4C,民用,阆中市,2023-12-17,31.50191,106.034417,Langzhong Gucheng Airport
柳州白莲机场,LZH,ZGZH,4C,军民合用,柳州市,1994-12-28,24.2075,109.390999,Liuzhou Bailian Airport / Bailian Air Base
泸州云龙机场,LZO,ZULZ,4C,军民合用,泸州市,2018-09-10,29.030357,105.468407,Luzhou Yunlong Airport
牡丹江海浪国际机场,MDG,ZYMD,4C,军民合用,牡丹江市,1985-09-02,44.525172,129.568634,Mudanjiang Hailang International Airport
梅州梅县机场,MXZ,ZGMX,4C,民用,梅州市,1987-09-01,24.263425,116.097857,Meizhou Meixian Changgangji International Airport
南充高坪机场,NAO,ZUNC,4C,军民合用,南充市,2004-08-14,30.798104,106.16415,Nanchong Gaoping Airport
齐齐哈尔三家子机场,NDG,ZYQQ,4C,军民合用,齐齐哈尔市,1988-05-16,47.229969,123.914179,Qiqihar Sanjiazi Airport
宁蒗泸沽湖机场,NLH,ZPNL,4C,民用,宁蒗彝族自治县,2015-10-12,27.5403,100.7593,Ninglang Luguhu Airport
新源那拉提机场,NLT,ZWNL,4C,民用,新源县,2006-07-15,43.4318,83.3786,Xinyuan Nalati Airport
扎兰屯成吉思汗机场,NZL,ZBZL,4C,民用,扎兰屯市,2016-12-28,47.865942,122.768662,Zhalantun Genghis Khan Airport
漠河古莲机场,OHE,ZYMH,4C,民用,漠河市,2008-06-18,52.916871,122.422759,Mohe Gulian Airport
攀枝花保安营机场,PZI,ZUZH,4C,民用,攀枝花市,2003-12-06,26.54,101.79852,Panzhihua Bao'anying Airport
莎车叶尔羌机场,QSZ,ZWSC,4C,民用,莎车县,2017-08-01,38.24542,77.056149,Shache Airport
日照山字河机场,RIZ,ZSRZ,4C,民用,日照市,2015-12-22,35.405033,119.324403,Rizhao Shanzihe Airport
